"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.494126417E0,3.668870544E-1,1.160985718E0,-1.216370544E0,1.721061082E0
2.504064417E0,6.628216553E-1,1.961820374E0,-1.051563263E0,2.322467873E0
2.514001417E0,4.160897369E0,3.392844543E0,-2.839595032E-1,5.376345786E0
2.523939417E0,3.430266724E0,3.045417023E0,1.333726501E-1,4.589017640E0
2.533876417E0,-2.215393066E-2,2.389630737E0,-5.721102905E-1,2.457261899E0
2.543813417E0,3.278182983E-1,2.946023712E0,2.838098145E-1,2.977762341E0
2.553751417E0,2.416125641E0,2.090971802E1,5.139711914E0,2.166727046E1
2.563688417E0,3.678001556E0,4.816758499E1,2.102303238E1,5.268407568E1
2.573626417E0,3.342698822E0,4.353636566E1,1.531869461E1,4.627365530E1
2.583563417E0,4.085603943E0,3.590179184E1,9.259744263E-1,3.614537654E1
2.593500417E0,1.422641602E0,2.818369171E1,-1.268282593E1,3.093862410E1
2.603438417E0,7.824229431E-1,2.037218582E1,-7.273824005E0,2.164593857E1
2.613375417E0,1.709594879E0,1.516840714E1,-3.171754303E0,1.559048797E1
2.623313417E0,2.366129608E0,1.170625671E1,-1.180445251E0,1.200118605E1
2.633250417E0,1.513951721E0,8.707692261E0,1.944456482E-1,8.840461721E0
2.643187417E0,8.352630615E-1,6.206842804E0,2.649490356E-1,6.268393731E0
2.653125417E0,-2.815644836E-1,4.527335358E0,-2.743794250E-1,4.544373232E0
2.663062417E0,-1.140628052E0,3.906725922E0,-7.048841858E-1,4.130423888E0
2.673000417E0,-1.390458527E0,4.413871307E0,1.556762695E-2,4.627729161E0
2.682937417E0,-1.142574005E0,5.766009521E0,5.135820007E-1,5.900517573E0
2.692874417E0,-9.011260986E-1,7.378157043E0,1.044976959E0,7.506077967E0
2.702812417E0,-8.241860962E-1,8.669970703E0,1.180594940E0,8.788713167E0
2.712749417E0,-9.276210022E-1,9.552535400E0,1.337618408E0,9.690234069E0
2.722687417E0,-1.141825562E0,1.026116180E1,1.732048187E0,1.046877252E1
2.732624500E0,-1.096619568E0,1.083791245E1,1.943109283E0,1.106519744E1
2.742561500E0,-5.087919617E-1,1.115704880E1,1.692081299E0,1.129609429E1
2.752499500E0,7.783813477E-3,1.116438354E1,1.184486847E0,1.122704456E1
2.762436500E0,3.553610229E-1,1.084554657E1,5.499563599E-1,1.086529401E1
2.772373500E0,6.779402161E-1,1.040216858E1,-1.034349060E-1,1.042475001E1
2.782311500E0,9.539662170E-1,1.000085312E1,-7.364685059E-1,1.007320706E1
2.792248500E0,1.136885834E0,9.869426422E0,-1.115779724E0,9.997152179E0
2.802186500E0,7.105723572E-1,9.731712799E0,-1.074765015E0,9.816632157E0
2.812123500E0,2.100132751E-1,9.545350342E0,-7.476951599E-1,9.576892334E0
2.822061500E0,-2.918930054E-2,9.375753021E0,-3.029699707E-1,9.380692274E0
2.831998500E0,-1.187031555E-1,9.320068817E0,1.474433899E-1,9.321990815E0
2.841935500E0,-1.685494995E-1,9.402098236E0,5.236111450E-1,9.418175450E0
2.851873500E0,-2.318678284E-1,9.601633301E0,6.054908752E-1,9.623499568E0
2.861810500E0,-5.134323120E-2,9.724378052E0,3.272195435E-1,9.730017330E0
2.871747500E0,3.171903992E-1,9.799821167E0,8.367599487E-2,9.805310109E0
2.881685500E0,5.343887329E-1,9.925559692E0,7.244934082E-2,9.940198963E0
2.891622500E0,6.300398254E-1,9.966125336E0,1.636097717E-1,9.987360640E0
2.901560500E0,7.560777283E-1,9.942773895E0,1.586700439E-1,9.972741972E0
2.911497500E0,8.976832581E-1,9.890083466E0,1.197509766E-1,9.931461448E0
2.921434500E0,8.312214661E-1,9.908046112E0,1.737886047E-1,9.944370737E0
2.931372500E0,5.911207581E-1,9.970765686E0,2.826123047E-1,9.992270104E0
2.941309500E0,3.848497009E-1,1.000714005E1,2.921923828E-1,1.001879921E1
2.951247500E0,2.900967407E-1,1.001597168E1,2.267784119E-1,1.002273781E1
2.961184500E0,2.266287231E-1,9.984237671E0,1.056802368E-1,9.987368560E0
2.971121500E0,1.097218323E-1,9.774224396E0,1.513352966E-1,9.776011651E0
2.981059500E0,1.338217163E-1,9.600735168E0,2.914439392E-1,9.606089922E0
2.990996500E0,1.459465027E-1,9.513915710E0,4.403842163E-1,9.525220774E0
3.000934500E0,7.858657837E-2,9.496102753E0,5.834866333E-1,9.514336550E0
3.010871500E0,1.466949463E-2,9.558972015E0,6.637197876E-1,9.581997972E0
3.020808500E0,-1.676513672E-2,9.700577545E0,6.770420837E-1,9.724190031E0
3.030746500E0,-6.421646118E-2,9.897418213E0,6.497987366E-1,9.918933886E0
3.040683500E0,-8.861572266E-2,1.007674530E1,6.292913818E-1,1.009676464E1
3.050621500E0,-9.610015869E-2,1.019230499E1,6.233038330E-1,1.021179827E1
3.060558500E0,-1.345701599E-1,1.015578094E1,6.150709534E-1,1.017527926E1
3.070496500E0,-1.683998108E-1,9.989177399E0,6.114784241E-1,1.000929216E1
3.080433500E0,-1.983375549E-1,9.801318054E0,5.587879944E-1,9.819237109E0
3.090370500E0,-1.784289551E-1,9.637408905E0,4.858895874E-1,9.651299186E0
3.100308500E0,-1.305285645E-1,9.498497772E0,4.649331665E-1,9.510765505E0
3.110245500E0,-4.415817261E-2,9.395960999E0,4.622387695E-1,9.407427795E0
3.120183500E0,6.810836792E-2,9.341773682E0,4.668791199E-1,9.353681114E0
3.130120500E0,1.692979431E-1,9.365424500E0,4.685256958E-1,9.378664840E0
3.140057500E0,2.589614868E-1,9.442364502E0,4.537065125E-1,9.456804854E0
